Aquila Dark Region: 1 systems in 25ly range 
Aries Dark Region: 2 systems in 25ly range 
Cepheus Dark Region: 1 systems in 25ly range 
Cepheus Dark Region B Sector: 0 systems in 25ly range 
Coalsack Dark Region: 35 systems in 50ly range 
Corona Austr. Dark Region: 2 systems in 25ly range 
Horsehead Dark Region: 4 systems in 25ly range 
Lupus Dark Region: 5 systems in 25ly range 
Lupus Dark Region B Sector: 2 systems in 25ly range 
Musca Dark Region: 1 systems in 25ly range 
Ophiuchus Dark Region: 1 systems in 25ly range 
Ophiuchus Dark Region B Sector: 0 systems in 25ly range 
Ophiuchus Dark Region C Sector: 4 systems in 25ly range 
Orion Dark Region: 1 systems in 25ly range 
Perseus Dark Region: 1 systems in 25ly range 
Puppis Dark Region: 0 systems in 25ly range 
Puppis Dark Region B Sector: 2 systems in 25ly range 
Scorpius Dark Region: 1 systems in 25ly range 
Scutum Dark Region: 1 systems in 25ly range 
Taurus Dark Region: 2 systems in 25ly range 
Vela Dark Region: 0 systems in 20ly range 
Vulpecula Dark Region: 1 systems in 25ly range 
